,Expert,Institution
3210,William F. Buckley,Yale University Press
3211,Philip N. Howard,Bence Kollyani of Corvinus University
3212,Emilio Ferrara,University of Southern California
3213,Niklas Höhne,Wageningen University
3214,John Sterman,Massachusetts Institute of Technology
3215,a. m.,University of Pittsburgh
3216,Graham Spanier,Pennsylvania State University
3217,Peter Schweizer,Government Accountability Institute
3218,Reisa A. Sperling,Harvard University
3219,Stephen Vladeck,University of Texas
3220,Jason Jolley,Ohio University
3221,Richard Cohen,Middlebury College
3222,David Hone,University of London
3223,Ronald Inglehart,University of Michigan
3224,Max Planck,Max Planck Institute for Evolutionary Anthropology
3225,Frank Brown,University of Utah
3226,Shara Bailey,New York University
3227,Jens David Ohlin,Cornell University
3228,Geoffrey Skelley,University of Virginia Center for Politics
3229,Christopher Stanley,University of Texas
3230,Nicholas O. Stephanopoulos,University of Chicago
3231,Eric McGhee,Public Policy Institute of California
3232,Carl Tobias,University of Richmond
3233,Andrea Constand,Temple University
3234,Andrea Constand,Temple University
3235,Daniel Richman,Columbia University
3236,David Scicchitano,State College Det
3237,Carl Tobias,University of Richmond
3238,Douglas Brinkley,Rice University
3239,Ross Mittiga,University of Virginia
3240,Stephen Farnsworth,University of Mary Washington
3241,Otto Warmbier,University of Virginia
3242,Otto Warmbier,University of Virginia
3243,Otto Warmbier,University of Virginia
3244,Otto Warmbier,University of Virginia
3245,Kelly Martin,University of Cincinnati Medical Center
3246,Otto Warmbier,University of Virginia
3247,Otto Warmbier,University of Virginia
3248,Andrea Constand,Temple University
3249,Raymond Tensing,University of Cincinnati
3250,Matt Mika,George Washington University Hospital
3251,Silva Avalos,American University
3252,Emily Ekins,Cato Institute
3253,Niambi Carter,Howard University
3254,Shayla Nunnally,University of Connecticut
3255,Ernest Moniz,Massachusetts Institute of Technology
3256,Joe Biden,National Defense University
3257,Daniel Kanter,University of Cincinnati Medical Center
3258,Daniel Bell,Harvard University
3259,Mat Staver,Liberty University Law School
3260,Ned Ende,University of Virginia
3261,Sharad Lakhanpal,American College of Rheumatology
3262,Linda Blumberg,Urban Institute
3263,Paul Starr,Princeton University
3264,William Yeomans,American University
3265,Joshua Dressler,Ohio State University
3266,Thomas Jefferson,Princeton University
3267,Jay Rosen,New York University
3268,Ikaika Gunderson,University of Hawaii
3269,David Autor,Massachusetts Institute of Technology
3270,Jacob Vigdor,University of Washington
3271,Jeffrey Clemens,University of California
3272,Michael Reich,University of California
3273,Daniel Borochoff,American Institute of Philanthropy
3274,Rick Hasen,University of California at Irvine
3275,Ni Feng,Institute of American Studies
3276,Jim Scotti,University of Arizona
3277,Geoffrey Alpert,University of South Carolina
3278,Molly Crossman,Yale University
3279,Hal Herzog,Western Carolina University
3280,Zareh Ghazarian,Monash University
3281,John Carter Brown Library,Brown University
3282,William P. Ball,Johns Hopkins University
3283,Richard C. Ausness,University of Kentucky College of Law
3284,Noel Gourmelen,University of Edinburgh
3285,Eric Rignot,University of California
3286,Andrea Constand,Temple University
3287,James Shellenberger,Temple University
3288,Anthony M. Heagerty,University of Manchester
3289,Gregory Thomas,Heart Institute at Long Beach Memorial Hospital
3290,Ethan Couch,National Immigration Institute
3291,Todd Fritz,University Press of Mississippi
3292,Fred Cate,Indiana University
3293,Jerry Falwell,Liberty University
3294,Richard Burkhauser,Cornell University
3295,Andrea Constand,Temple University
3296,Deborah Tannen,Georgetown University
3297,Marc Lynch,George Washington University
3298,James Noble,Columbia University
3299,Ted Cruz,Dordt College
3300,Sandy Hook,Florida Atlantic University
3301,James Tracy,Florida Atlantic University
3302,Eswar Prasad,Cornell University
3303,Edwin Truman,Peterson Institute for International Economics
3304,George Mason,George Mason University
3305,Ullrich Ecker,University of Western Australia
3306,Stephan Lewandowsky,University of Bristol
3307,Sean McDonnell,University of New Hampshire
3308,Erik Swartz,University of New Hampshire
3309,Ryan Duffin,University of Virginia
3310,S. C.,Winthrop University
3311,Don Haskins,Texas Western College
3312,Shabazz Napier,University of Connecticut
3313,Scott Fujita,University of California
3314,Ken Prehoda,University of Oregon
3315,Bill Cosby,Goucher College
3316,Bill Cosby,Temple University
3317,Melissa Kearney,University of Maryland
3318,Hillary Clinton,Monmouth University
3319,Jeff Walton,Institute on Religion & Democracy
3320,Philip Jenkins,Baylor University
3321,Gerald Friedman,University of Massachusetts
3322,Phillip Smyth,University of Maryland
3323,Ray Tensing,University of Cincinnati
3324,Samuel DuBose,University of Cincinnati
3325,Donald Trump,Liberty University
3326,Newsha Tavakolian,Tehran University of Art
3327,Donald Trump,Iowa State University
3328,Doug Muzzio,Baruch College
3329,Ken Sherrill,Hunter College
3330,Karen Dolan,Institute for Policy Studies
3331,Ahmed Ghappour,University of California Hastings College of Law
3332,Paulo Zanotto,University of Sao Paulo
3333,Jonah Markowitz,Connecticut College
3334,Tavaris Sanders,Connecticut College
3335,Kim Michelson,Connecticut College
3336,Josh Blackman,South Texas College of Law
3337,Frederick County Public Schools,University of Maryland
3338,Alan Woodward,Surrey University
3339,Bernie Sanders,University of Chicago
3340,Jerry Falwell Jr.,Liberty University
3341,John Steele,Brown University
3342,Donald Trump,University of Iowa Field House
3343,Sarah L.   ,Georgetown University
3344,Eman Abid,Georgetown University
3345,Danielle Cruz,Professor Fernando Figueira Institute of Medicine
3346,Keramet Reiter,University of California at Irvine
3347,Francine Blau,Cornell University
3348,Marguerite Roza,Georgetown University
3349,Kendall Roden,University of Alabama
3350,Janet Napolitano,University of California
3351,Janet Napolitano,University of California
3352,Stuart R. Bell,University of Alabama
3353,Anthony Fauci,National Institute of Allergy and Infectious Diseases
3354,N. H.,New England College
3355,N. H.,Pierce University
3356,Anthony Fauci,National Institute of Allergy and Infectious Diseases
3357,Khadija Gurnah,Islamic Center at New York University
3358,Danielle Allen,Harvard University
3359,Marianne Cooper,Stanford University
3360,Lenise Garcia,University of Brasilia
3361,Alessandra Buonanno,Max Planck Institute for Gravitational Physics
3362,Bernie Sanders,University of Chicago
3363,Bruce Rappaport,University of Chicago
3364,Bernie Sanders,Georgetown University
3365,Hillary Clinton,University of  
3366,Paul McPartlan,Catholic University
3367,Traci Mann,University of Minnesota
3368,Art Aron,State University of New York
3369,Jefferson Singer,Connecticut College
3370,Doug Ahler,University of California at Berkeley
3371,Irv Gornstein,Supreme Court Institute
3372,Jerry Falwell Jr.,Liberty University
3373,p. m. update,College of Dupage
3374,a. m.,College of Dupage
3375,Jonathan Butler,University of Missouri
3376,Jamie Kalven,Invisible Institute
3377,David Kipp,German Institute for International and Security Affairs
3378,Tajh Boyd,Clemson University
3379,Tim Wolfe,University of Missouri
3380,Tim Wolfe,University of Missouri
3381,Lawrence H. Summers,Charles W. Eliot university
3382,Rexford G. Tugwell,Columbia University
3383,Tim Cook,University of Pennsylvania
3384,Charol Shakeshaft,Virginia Commonwealth University
3385,Scott Weaver,Institute for Human Infections and Immunity
3386,Jordan Johnson,University of Montana
3387,Paul Nungesser,Columbia University
3388,Jordan Johnson,Former University of Montana
3389,Cathleen Kaveny,Boston College
3390,Charles Camosy,Fordham University
3391,John Grabowski,Catholic University
3392,Abbott Lawrence Lowell,Harvard University
3393,Bruce Schulman,Boston University
3394,Danielle Allen,Harvard University
3395,William McRaven,University of Texas System
3396,John Sharp,Texas A&M University System
3397,Greg Fenves,University of Texas
3398,Bob Kopp,Rutgers University
3399,Michael Mann,Penn State University
3400,Neal Kassell,University of Virginia
3401,Neal Kassell,University of Virginia
3402,Kenneth Sherrill,Hunter College
3403,p. m. update,College of Dupage
3404,James Alan Fox,Northeastern University
3405,Melissa Click,University of Missouri
3406,Pat Robertson,Regent University
3407,Anthony Fauci,National Institutes for Allergy and Infectious Diseases
3408,Wendell E. Pritchett,University of Pennsylvania Law School
3409,David Uhlmann,University of Michigan
3410,McLaren Flint,Virginia Tech University
3411,Kathryn Edin,Johns Hopkins University
3412,Kathryn Edin,Johns Hopkins University
3413,David Cohen,Drexel University
3414,Hannah Graham,University of Virginia
3415,Teresa A. Sullivan,University of Virginia
3416,Ruth Bader Ginsburg,Georgetown University
3417,Justin Atkinson,University of   
3418,Michele Haggard,George Mason University
3419,Danielle Allen,Harvard University
3420,Gregory Zuckerman,Duke University
3421,Mitt Romney,Hinckley Institute of Politics
3422,Jelena Ghadri,University Hospital Zurich
3423,Christian Templin,University Hospital Zurich
3424,David Coleman,College Board
3425,David Coleman,College Board
3426,David Coleman,College Board
3427,Hengli Tang,Florida State University
3428,Anthony S. Fauci,National Institute of Allergy and Infectious Diseases
3429,John McCardell,The University of the South
3430,Clyde McGregor,Oberlin College Board of Trustees
3431,Views Expressed,Oberlin College
3432,Marvin Krislov,Oberlin College
3433,George Rutherglen,University of Virginia School of Law
3434,Margaret Drew,University of Massachusetts School of Law
3435,Danielle Allen,Harvard University
3436,Sherry Towers,Arizona State University
3437,James Alan Fox,Northeastern University
3438,Stephen Vladeck,American University
3439,Stacie Dusetzina,University of North Carolina
3440,Brian Druker,Oregon Health and Science University
3441,Richard Larson,University of Chicago
3442,Andrew Hill,University of Liverpool
3443,Rena Conti,University of Chicago
3444,Andrea Constand,Temple University
3445,Katie Zink,Harvard University
3446,John Hoberman,University of Texas
3447,Kashiya Nwanguma,University of Louisville
3448,Monica Gray,University of Virginia
3449,Carolyn Lear of Cardiff University,University of Bristol
3450,Dan Lunt,University of Bristol
3451,Mo Elleithee,Institute of Politics and Public Service
3452,Jane Sanders,Burlington College
3453,Jane Sanders,University of Florida
3454,Suzanne Venker,Williams College
3455,Ben Shapiro,Williams College
3456,George Yancey,University of North Texas
3457,Jonathan Haidt,New York University
3458,Shawn Osborne,University Hospitals
3459,Jürgen Falter,Mainz University
3460,Charles Rex    ,University of Illinois at Chicago
3461,Stephen Brusatte,University of Edinburgh
3462,Thomas Holtz Jr.,University of Maryland
3463,Stephen I. Vladeck,Washington College of Law
3464,Justin Driver,University of Chicago
3465,Mark Kleiman,University of California at Los Angeles
3466,Jonathan Holloway,Yale College
3467,Jeffrey Sachs,Earth Institute
3468,Dan Bradley,Trinity College Dublin
3469,David Reich,Harvard University
3470,Christine Denny,Columbia University
3471,Norman Li,Singapore Management University
3472,David Shiffman,University of Miami
3473,N. H.,Plymouth State University
3474,Douglas Laycock,University of Virginia
3475,David Autor,Massachusetts Institute of Technology
3476,David Dorn,University of Zurich
3477,Gordon Hanson,University of California at San Diego
3478,Soner Cagaptay,Washington Institute for Near East Policy
3479,S. C.,State University
3480,Nikeeya Ali,State University
3481,Nikeeyah Ali,State University
3482,S. C.,State University
3483,Rik Coolsaet,Ghent University
3484,Stevan Mufson,Itinera Institute
3485,Rik Coolsaet,Ghent University
3486,Daniel James,Indiana University
3487,Hillary Clinton,Stanford University
3488,Little Sisters,East Texas Baptist University
3489,Khaing Zaw,Duke University
3490,Eleni Pinnow,University of  
3491,Michael Knights,Washington Institute for Near East Policy
3492,Nancy Combs,College of William
3493,Jared Soares,National Institutes of Health
3494,Gubio Soares,Federal University of Bahia
3495,Andrew Nathan,Columbia University
3496,Stuart Rojstaczer,Duke University
3497,Chris Healy,Furman University
3498,Rob DeConto,University of Massachusetts
3499,David Pollard,Penn State University
3500,Richard Alley,Penn State University
3501,Knut Christianson,University of Washington
3502,Mark Osler,University of St. Thomas
3503,Kjeld Aamodt,University of California at San Francisco
3504,Albert Greco,Fordham University
3505,Kaixiong Ye,Cornell University
3506,Chris Kozak,Institute of Study of War
3507,Michael Tesler,University of California at Irvine
3508,Siegel Center,Virginia Commonwealth University
3509,David Cole,Georgetown University
3510,Wesley Marshall,University of Colorado
3511,Nicholas Epley,University of Chicago
3512,David Cole,Georgetown University Law Center
3513,Robert Gordon,Northwestern University
3514,N. H. Jabin,Saint Anselm College
3515,David Phillips,University of California at San Diego
3516,Adam Lankford,University of Alabama
3517,Christopher Eisgruber,University
3518,Caroline Hoxby,Stanford University
3519,Geoffrey Stone,University of Chicago
3520,Hugo M. Mialon,University of Alberta
3521,Michael A. Williams,Emory University
3522,Doug Colbert,University of Maryland
3523,J. W. Mason,Roosevelt Institute
3524,Jim Graham,Bryn Mawr College
3525,Drew Faust,Harvard University
3526,Kenya Sesay,Montgomery College
3527,Kasper Moller Hansen,University of Copenhagen
3528,R. I.,Naval War College
3529,Mike Rogers,University of Southern California
3530,Catherine Ayers,University of California at San Diego
3531,Randy O. Frost,Smith College
3532,Deborah Lipstadt,Emory University
3533,George W. Bush,Johns Hopkins University
3534,George Papadopoulous,DePaul University
3535,David Tell,Hudson Institute
3536,Kenneth Rogoff,Harvard University
3537,Jerry Falwell Jr.,Liberty University
3538,Bryn Mawr,University of Maryland
3539,George Washington,American University
3540,George Washington,George Washington University
3541,Daniel Mitchell,Cato Institute
3542,Sondra S. Crosby,Boston University
3543,David Autor,Massachusetts Institute of Technology
3544,Roy Jensen,University of Kansas Cancer Center
3545,Maura Gillison,Ohio State University Comprehensive Cancer Center
3546,Jimmy Gurulé,University of Notre Dame
3547,Norman Ornstein,American Enterprise Institute
3548,Milton Friedman,University of Chicago
3549,Mike Konczal,Roosevelt Institute
3550,Jerry Falwell Jr.,Liberty University
3551,Jerry Falwell Jr.,Liberty University
3552,David Vladeck,Georgetown University Law Center
3553,Thutmose II,German Archaeological Institute
3554,Khairuldeen Makhzoomi,University of California
3555,Thomas Rando,Stanford University School of Medicine
3556,Lizabeth Kleintop,Moravian College
3557,Francine Blau,Cornell University
3558,Larry J. Sabato,University of Virginia
3559,T. Thanbyah,Christian Institute
3560,Eh Wah,The Institute for Justice
3561,Scott Gottlieb,American Enterprise Institute
3562,Karen Wynn,Yale University
3563,Eh Wah,Institute for Justice
3564,Eugene Steuerle,Urban Institute
3565,Natalie Portman,Princeton University
3566,Robert Wachter,University of California at San Francisco
3567,Richard J. Cellini,Georgetown University
3568,John Vidale,University of Washington
3569,Ian Klein,Ohio University
3570,Jessica Reed,James Madison University
3571,Malia Obama,Harvard University
3572,Feng Zhang,Broad Institute of Massachusetts Institute of Technology
3573,Eric Lander,Broad Institute
3574,Oren Etzioni,Allen Institute for Artificial Intelligence
3575,Jonathan Caulkins,Carnegie Mellon University
3576,Anthony Nownes,University of Tennessee
3577,Douglas Hartmann,University of Minnesota
3578,Eric Doucet,University of Ottawa
3579,John Curtice,University of Strathclyde
3580,K. Christopher Beard,University of Kansas
3581,Guido Menzio,University of Pennsylvania
3582,Michael Tanner,Cato Institute
3583,Paulo Sotero,Brazil Institute
3584,Christopher Sabatini,Columbia University
3585,Jane Censer,George Mason University
3586,Gaines Foster,Louisiana State University
3587,Margaret Spellings,University of North Carolina System
3588,Peter Pronovost,Armstrong Institute for Patient Safety and Quality
3589,Anthony Fauci,National Institute of Allergy and Infectious Diseases
3590,Greg Harrington,University of Wisconsin
3591,Ann Owens,University of Southern California
3592,Woodrow Wilson,Bryn Mawr College
3593,Anthony S. Fauci,National Institute of Allergy and Infectious Diseases
3594,James Bretzke,Boston College
3595,Jessi Halligan,Florida State University
3596,Donald Grayson,University of Washington
3597,Valérie Brosseau,University of Toronto
3598,Robb Willer,Stanford University
3599,Harold Lloyd,Wake Forest University School of Law
3600,Barack Obama,Rutgers University
3601,Brian Helfand,NorthShore University HealthSystem
3602,Michael Rubin,American Enterprise Institute
3603,Sheryl Sandberg,University of California at Berkeley
3604,Uma Reddy,National Institutes of Health
3605,Jerry Falwell,Bob Jones University
3606,Jerry Falwell,Liberty University
3607,Lizzette Delgadillo,Columbia University
3608,Lizzette Delgadillo,Columbia University
3609,Jason Furtado,University of Oklahoma
3610,John Hoberman,University of Texas
3611,Gary King,Institute for Quantitative Social Science
3612,Jeremy Gilbert,Institute for Quantitative Social Science
3613,Gary King,Institute for Quantitative Social Science
3614,Sheila Nirenberg,Institute for Quantitative Social Science
3615,Sheila Nirenberg,Harvard University
3616,Julia Ross,University of Maryland
3617,Robert Baade,Lake Forest College
3618,Victor Matheson,Lake Forest College
3619,Martin Siegert,Imperial College London
3620,Rob DeConto,University of Massachusetts
3621,David Pollard,Penn State University
3622,Chris Christie,Quinnipiac University
3623,Jacyln Wong,University of Chicago
3624,Andrew Penner,University of California at Irvine
3625,Joe Vogle,George Washington University
3626,Wayne LaPierre,NRA Institute for Legislative Action
3627,Dietary Guidelines,Institute of Medicine
3628,David Kerbow,University of Chicago
3629,Kenneth Rogoff,Harvard University
3630,Andrea Constand,Temple University
3631,Michael Rosenfeld,Stanford University
3632,Philip Cohen,University of Maryland
3633,Bob Holsworth,Virginia Commonwealth University
3634,Jeffrey D. Sachs,Earth Institute
3635,Kenneth Starr,Baylor University
3636,Danielle Allen,Harvard University
3637,Hillary Clinton,Public Policy Institute of California
3638,Keith Gaddie,University of Oklahoma
3639,Bryan McGrath,Hudson Institute
3640,Thomas Miller,University of Utah Hospitals
3641,Guido Menzio,University of Pennsylvania
3642,Arthur Caplan,New York University
3643,Amir Attaran,New York University
3644,Christopher Gaffney,University of Ottawa
3645,Thalia Arawi,New York University
3646,Stephanie Augustine,University of Ottawa
3647,N. Y. 7,North Shore University Hospital
3648,Robert Baker,Clarkson University & the Icahn School of Medicine
3649,Solly Benatar,University of Cape Town Bioethics Center
3650,Lynn Bourgeault,Canadian Institutes of Health Research
3651,Berit Bringedal,Institute for Studies
3652,N. Y. 19,New York Medical College
3653,Cheryl Cline,Kasetsart University
3654,Christopher Gaffney,University of Pennsylvania
3655,N. J. 35,Princeton University
3656,Moti Gorin,Case Western Reserve University
3657,Sally Guttmacher,New York University
3658,Lee H. Igel,Tisch Institute for Sports Management
3659,Judy Illes,New York University
3660,Yeremias Jena,New York University
3661,Lewis Katz School of Medicine,Temple University
3662,Lisa Kearns,New York University
3663,Abbas Kharabi,Harvard University
3664,Abbas Kharabi,University of Malaya
3665,Craig Klugman,Columbia University
3666,Adam Kolber,DePaul University
3667,Craig Konnoth,Leonard Davis Institute of Health Economics
3668,Loma Linda,Loma Linda University School of Medicine
3669,John Lantos,Tufts University
3670,Thuy Le,Oxford University Clinical Research Unit
3671,Leonard leBlanc,University of Ottawa
3672,Leonard leBlanc,Eubios Ethics Institute
3673,Ariane Lewis,Columbia University
3674,Sergio Litewka,Institute for Bioethics
3675,Tim Mackey,Global Health Policy Institute
3676,Cheryl Macpherson,Albert Einstein College of Medicine
3677,Thomas Mayo,Southern Methodist University
3678,Alan Milstein,University of Pennsylvania
3679,N. Y. 101,Clarkson University
3680,Stony Brook,Stony Brook University School of Medicine
3681,Vojin Rakic,New York University
3682,Lewis Katz School of Medicine,Temple University
3683,Maya Sabatello,New York University
3684,Maya Sabatello,Columbia University
3685,Judit Sandor,South Baylo University
3686,Pamela L. Sankar,Central European University
3687,Evan Selinger,Rochester Institute of Technology
3688,Seema K. Shah,University of Washington School of Medicine
3689,William S. Silvers,University of Colorado Denver School of Medicine
3690,Peter Singer,Princeton University
3691,N. J.,Princeton University
3692,Martin Strosberg,Clarkson University & the Icahn School of Medicine
3693,Ananya Tritipthumrongchok,Duquesne University
3694,Connie Ulrich,Taipei Medical University
3695,Robert M. Veatch,Kennedy Institute of Ethics
3696,Ford Vox,New York University
3697,Benjamin Wilfond,Mahidol University
3698,Mike Dukakis,Northeastern University
3699,Norman J. Ornstein,American Enterprise Institute
3700,Nina Patel,University of Alabama
3701,Nina Patel,University of Alabama
3702,Yan Yuejin,China R&D Institute
3703,Michael Sexton,Trump University
3704,Sarah L.   ,Trump University
3705,Ryne Sherman,Florida Atlantic University
3706,Hillary Clinton,American Enterprise Institute
3707,Jef Boeke,Institute for Systems Genetics
3708,Bernie Sanders,University of California at Davis
3709,Gonzalo Curiel,Trump University
3710,Jennifer Rubin,The Trump University
3711,Craig Futterman,University of Chicago
3712,Dan Ludwinski,Cornell University Department of Economics
3713,James Harris,Trump University
3714,Mark Gordon,Trump University
3715,Michael Sexton,Trump University
3716,Kesha Moore,Drew University
3717,Brock Allen Turner,Stanford University
3718,Annapolis High,University of Maryland
3719,Hillary Clinton,Sacramento City College
3720,Bill O,Walter Reed Army Institute of Research
3721,Yohei Doi,University of Pittsburgh
3722,Daniel Matlock,University of Colorado School of Medicine
3723,B. S.,Trump University
3724,KC Johnson,Brooklyn College
3725,Brock Allen Turner,Stanford University
3726,Paul Ryan,Trump University
3727,Charles Kurzman,University of North Carolina
3728,N. H. He,Saint Anselm College
3729,Jonathan Caulkins,Carnegie Mellon University
3730,John Foubert,Oklahoma State University
3731,Peter B. Edelman,Georgetown University
3732,Mitt Romney,Trump University
3733,Jule Charney,Massachusetts Institute of Technology
3734,Joseph Uscinski,University of Miami
3735,N. H. Jabin,Saint Anselm College
3736,N. H. Jim    ,Saint Anselm College
3737,Arie Kruglanski,University of Maryland
3738,N. H. Jabin,Saint Anselm College
3739,N. H. Jabin,Saint Anselm College
3740,Dawn Szymanski,University of Tennessee
3741,Stephanie Budge,University of Wisconsin
3742,Will Cox,University of   
3743,Allison Macfarlane,George Washington University
3744,N. H. Jabin,Saint Anselm College
3745,John Hitt,University of Central Florida
3746,James Alan Fox,Northeastern University
3747,Benjamin M. Blau,Utah State University
3748,Nicholas Valentino,University of Michigan
3749,Elio Velazquez,Marist College
3750,Jacob Kirkegaard,Peterson Institute for International Economics
3751,Ian Joughin,University of Washington
3752,David Holland,New York University
3753,Reginald Adams,Drexel University
3754,N. H. Jabin,Saint Anselm College
3755,N. H. Jabin,Saint Anselm College
3756,Jerry Falwell,Liberty University
3757,N. H. Jabin,Saint Anselm College
3758,N. H. Jabin,Saint Anselm College
3759,Ray Madoff,Boston College
3760,N. J.,Trump University
3761,Henry Jenkins,University of Southern California
3762,Jennifer Holt,University of California at
3763,Peter Brown,Quinnipiac University
3764,Marco Rubio,Quinnipiac University
3765,Justin Driver,University of Chicago
3766,James Meredith,University of Mississippi
3767,Doug Colbert,University of Maryland
3768,David Willey,University of Pittsburgh
3769,Dean Yang,University of Michigan
3770,Brian Levin,California State University
3771,Jason Grabosky,Rutgers University
3772,Erik Gordon,University of Michigan Ross School of Business
3773,Stephen K. Medvic,Franklin & Marshall College
3774,Zephyr Teachout,Fordham University
3775,Graham Fogg,University of  
3776,Pamela S. Karlan,Stanford University
3777,Shelia Collins,University of Tennessee
3778,Randy Schekman,University of California at Berkeley
3779,Rob Ford,University of Manchester
3780,Paul Knoepfler,University of California at
3781,Xi Zhiyong,Michigan State University
3782,Robert Johnson,Institute for Justice
3783,Paul Kamenar,Institute for Justice
3784,Faraaz Hossain,Oxford College
3785,Abinta Kabir,Oxford College
3786,Danielle Allen,Harvard University
3787,Elie Wiesel,Elie Wiesel Institute
3788,Samuel Charap,International Institute for Strategic Studies
3789,Paul D. Ryan,Trump University
3790,Scott Bolton,Southwest Research Institute
3791,Michael Petrilli,Fordham Institute
3792,Scott Bolton,Southwest Research Institute
3793,Abraham Lincoln,Johns Hopkins University Press
3794,Marion Nestle,New York University
3795,Yusmarni Djalius,Andalas University
3796,James Alan Fox,Northeastern University
3797,Samantha Hogan,American University
3798,Andrea Constand,Temple University
3799,Ryan Calo,University of Washington
3800,Jennifer Jones,Davidson College
3801,Chris Cox,NRA Institute for Legislative Action
3802,a. k. a.,Franklin Institute
3803,Guobin Yang,University of Pennsylvania
3804,Seva Gunitsky,University of Toronto
3805,Amira Budebs,New York University Abu Dhabi
3806,Emmanuel Saez,University of California at Berkeley
3807,Donald L. Trump,Inova Schar Cancer Institute
3808,Joe Paterno,State College
3809,Karen Peart,Yale University
3810,Woodrow Wilson,University
3811,Julia Adams,Calhoun College
3812,John Jairo Lugo,Calhoun College
3813,George Washington,George Washington University
3814,Renée Ann Cramer,Drake University
3815,Gene Healy,Cato Institute
3816,Cornell Brooks,Harvard University
3817,Donald Trump,Trump University
3818,Donald Trump,Trump University
3819,Philip R. Sharp,State University Libraries
3820,Philip R. Sharp,State University Libraries
3821,Soner Cagaptay,Washington Institute for Near East Policy
3822,Mac Donald,Manhattan Institute
3823,Rollie Flynn,Georgetown University
3824,Curtis Bradley,Duke University
3825,Bryan Shaw,El Centro College
3826,John Abbott,Dallas County Community College District
3827,John Abbott,El Centro College
3828,David Greenberg,Rutgers University
3829,Allan Lichtman,American University
3830,Woodrow Wilson,Princeton University
3831,Elizabeth Warren,Georgetown University
3832,Steve Sanders,Indiana University
3833,William B. Lacy,University of Kansas
3834,Gavin Eugene Long,Central Texas College
3835,Gavin Eugene Long,University of Alabama
3836,Jerry Falwell Jr.,Liberty University
3837,Daniel Koehler,Institute on Radicalization
3838,James Howard,University of Kansas Hospital
3839,Michael Kazin,Georgetown University
3840,Michael McFaul,Stanford University
3841,Jerry Falwell Jr.,Liberty University
3842,Stephen Higgs,Kansas State University
3843,Peter Hotez,Kansas State University
3844,Rollie Flynn,Georgetown University
3845,Elliott Erwitt,The University of Texas Austin
3846,David Klinger,University of Missouri
3847,Ron McCarthy,University of South Carolina
3848,William D’Antonio,Catholic University
3849,Karen Swallow Prior,Liberty University
3850,Martin Johnson,Louisiana State University
3851,Andrew Smith,Arizona State University
3852,Steve Jobs,Stanford University
3853,George C. Edwards III,Texas A&M University
3854,Michal Horowitz,Hebrew University of Jerusalem
3855,Andra Gillespie,Emory University
3856,Elizabeth Boots,University of Wisconsin
3857,Anton Shekhovtsov,Legatum Institute
3858,James Russell,University of Auckland
3859,Andreas Peschel,University of Tübingen
3860,Kim Lewis,Northeastern University
3861,David Holland,New York University
3862,Miss America,Stanford University
3863,Stephen Higgs,Kansas State University
3864,Neal Devins,College of William & Mary
3865,Andrew Zimbalist,Smith College
3866,Koji Morioka,Kansai University
3867,Kenichi Kuroda,Meiji University
3868,Bill Kovach,American Press Institute
3869,Helen Fisher,Rutgers University
3870,Joe Jr.,Swarthmore College
3871,Randal Olson,University of Pennsylvania
3872,John Spencer,Southwest Research Institute
3873,Joseph Jankovic,Baylor College of Medicine
3874,Mike Krzyzewski,Epic College Basketball Rivalry
3875,Brian McNoldy,University of Miami
3876,Adam Sobel,Columbia University
3877,Peter Navarro,University of California at Irvine
3878,Vin Weber,Cambridge University
3879,Parker Abt,Maryland Public Policy Institute
3880,Parker Abt,University of Pennsylvania
3881,Richard Rosenfeld,University of Missouri
3882,Lorraine Minnite,Rutgers University
3883,Rick Hasen,University of California at Irvine
3884,Daniel M. Schaffzin,University of Memphis
3885,Janet Davis,University of Texas
3886,N. J.,Quinnipiac University
3887,N. J.,Quinnipiac University
3888,Andrew Zureick,University of Michigan Medical School
3889,Ronald F. Inglehart,University of Michigan
3890,Jan De Loecker,Duke University
3891,Jan De Loecker,Duke University
3892,Lucy Lu,Peterson Institute
3893,Robert Lawrence,Harvard University
3894,Andrea Constand,Temple University
3895,Dan Mitchell,Cato Institute
3896,John McGeary,Brown University
3897,Jim Blair,University of Arkansas Special Collections
3898,Diane Kincaid,University of Arkansas Special Collections
3899,Hillary Clinton,University of Arkansas Special Collections
3900,Christopher Borick,Muhlenberg College Institute of Public Opinion
3901,Christopher Borick,Muhlenberg College Institute of Public Opinion
3902,Dave Salo,University of Southern Cal
3903,Robert Kopp,Rutgers University
3904,Ioannis Mylonopoulos,Columbia University
3905,Peter Kreko,Political Capital Institute
3906,Wes Sumrell,University of Wisconsin
3907,Generation Opportunity,Charles Koch Institute
3908,Donald Trump,Youngstown State University
3909,Josh Bivens,Economic Policy Institute
3910,Tom Hinton,Georgetown University Law Center
3911,Donald Trump,Youngstown State University
3912,Donald Trump,Youngstown State University
3913,Jeremy Shuler,Cornell University
3914,Robert Thompson,Syracuse University
3915,David Ignatius,George Mason University
3916,Donald Trump,Youngstown State University
3917,Joseph Gleeson,Rockefeller University
3918,Anthony Fauci,National Institute of Allergy and Infectious Diseases
3919,Anthony Fauci,National Institute of Allergy and Infectious Diseases
3920,Teresa Sullivan,University of Virginia
3921,Scott Winship,Manhattan Institute
3922,Alberto Martinez,University of Texas
3923,Jefferson Davis,University of Texas
3924,William Schaffner,Vanderbilt University School of Medicine
